id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
595354871634319147,Spacious SERVICED APT with Fitness & Indoor Pool,385341680,ThreeSIXTY Estates,,San Pawl il-Bahar,35.95135,14.42495,Entire home/apt,134,3,1,2022-08-11,0.64,282,365,1,
11330045,Ta'Peppa,47619644,Michelle,,Xaghra,36.05576,14.27489,Entire home/apt,236,4,0,,,3,357,0,
52700195,The Howard - Long/Short term Double Room,426599952,Maria Luz,,Sliema,35.91416,14.5008,Private room,55,7,6,2022-09-03,0.63,3,103,6,
19889197,Gozo Retreat close to Cliffs and Beaches,140598191,Joe,,Sannat,36.02798,14.24516,Entire home/apt,200,3,26,2022-08-21,0.51,3,0,3,
685366656207045937,Double bedroom with private bathroom+terrace,170610716,Viktor,,Msida,35.89717,14.48612,Private room,50,3,5,2022-09-18,3.13,1,65,5,
37135031,Rabat Room- Sliema Center-5min walk to the Sea,164758637,Jean Paul,,Sliema,35.91085,14.49955,Private room,69,1,43,2022-09-23,1.12,6,64,16,
1543501,Seafront Reflections,3176303,Ron,,San Pawl il-Bahar,35.94898,14.40843,Entire home/apt,64,4,139,2022-08-27,1.26,3,342,19,
21536004,Three bedroom apartment in St. Julian's,8774638,Karl,,San Giljan,35.91066,14.48982,Entire home/apt,150,2,20,2022-07-13,0.35,5,233,1,
6819422,Apartment with Sea and Country View,35710312,Esther,,San Lawrenz,36.053,14.20024,Entire home/apt,170,3,1,2015-07-25,0.01,3,236,0,
19148986,Stunning beachfont apartment and private courtyard,28071550,Katherine,,San Giljan,35.91863,14.49086,Entire home/apt,74,4,108,2022-09-08,1.68,1,73,23,
22110802,Appartement centre Sliema très spacieux de 150 m²,21126491,Patricia,,Sliema,35.91075,14.50915,Entire home/apt,120,7,0,,,1,83,0,
573586415736925134,Penthouse + BBQ KITCHEN ISLAND & MASSIVE living,385341680,ThreeSIXTY Estates,,San Giljan,35.91212,14.48492,Entire home/apt,120,3,11,2022-09-04,1.93,282,336,11,
43932593,The drayton 03 hôtels appartment,351471315,Olivier,,San Giljan,35.92358,14.48812,Entire home/apt,60,2,32,2022-09-19,1.21,6,60,17,
670082791507541478,Lovely/Spacious 3Bedroom/Terrace with views,267128845,Albert,,Mellieha,35.95749,14.36704,Entire home/apt,86,5,0,,,3,365,0,
34643083,"Appartamento vista mare, 2 camere. Flat 8",174889680,Stefano,,Munxar,36.0284,14.21635,Entire home/apt,86,3,12,2022-08-22,0.30,25,0,9,
636734720963725162,Studio A2 - Front Terrace ✓ Free Wifi✓,300283098,Edmund,,Marsascala,35.8643,14.56526,Entire home/apt,80,4,2,2022-09-18,0.55,6,39,2,
6081041,"""Ta' Marie Farmhouse"" , 3 bedrooms",14266592,Marygrace,,Xewkija,36.03248,14.25313,Entire home/apt,250,7,40,2020-01-03,0.50,5,329,0,
34761025,"Appartamento vista valle, 1 camera. Flat 9",174889680,Stefano,,Munxar,36.02862,14.21646,Entire home/apt,66,1,12,2022-09-06,0.31,25,12,5,
50673620,AMAZING seaview room with beautiful balcony & WIFI,222527557,360 Estates,,San Giljan,35.92299,14.49272,Private room,200,1,2,2021-08-27,0.15,164,365,0,
705787293002311291,House Good Vibes Quarto Privado,284039180,Anne,,Gzira,35.90371,14.4969,Private room,33,1,3,2022-09-25,3,1,361,3,
26812218,Duplex Penthouse in Floriana (3),201613487,Robert,,Floriana,35.89151,14.50681,Entire home/apt,59,2,86,2022-09-10,1.69,2,331,27,
16489616,Villa Marni - Baħar,25726897,Simon,,Munxar,36.02876,14.2182,Entire home/apt,95,3,122,2022-09-22,1.91,5,334,27,
28268396,Quayside Apartments - First Floor Seaview,43882507,Jeffrey,,Marsaxlokk,35.84043,14.54562,Entire home/apt,77,3,8,2022-09-11,0.21,11,328,5,
41949472,Penthouse Suite Comfort & Luxury,42220913,Karl,,San Gwann,35.91184,14.47854,Private room,107,2,0,,,9,352,0,
42127434,Luxurious 6 bedroom/en suite Villa - Pool / AC,112141729,Andy,,Kercem,36.04415,14.21876,Entire home/apt,241,2,23,2022-06-23,0.80,2,220,14,
649091890906098380,"Designer, 2BR with Outdoor/Indoor Pool, Gym & WIFI",385341680,ThreeSIXTY Estates,,Gzira,35.90498,14.49224,Entire home/apt,186,3,1,2022-08-30,1,282,365,1,
47880473,Sliema Seafront Tigne Area Apartment,1774894,ShortLets,,Sliema,35.90729,14.50796,Entire home/apt,208,7,3,2022-06-16,0.20,143,269,2,
39399357,Minute walk to the beach,204565909,Clayton,,Munxar,36.03,14.21888,Entire home/apt,59,1,26,2022-09-01,0.74,2,359,12,
11333631,Ta'Filomena,47619644,Michelle,,Xaghra,36.05444,14.27369,Entire home/apt,321,3,4,2022-08-06,0.05,3,345,1,
684607880943174544,квартира на Мальте  3,314461471,Ania,,San Giljan,35.92423,14.49056,Entire home/apt,80,1,2,2022-08-20,1.18,9,193,2,
51274666,November  & December SALE 70% OFF,1664026,Robert,,San Pawl il-Bahar,35.95174,14.41835,Entire home/apt,46,7,2,2022-05-11,0.16,26,264,1,
33125974,St Julians Unique place PRIME LOCATION,54879443,Julian,,San Giljan,35.91309,14.49375,Entire home/apt,84,3,44,2022-09-22,1.10,1,73,20,
19943836,Comfort Two Bedroom Apartment,109701436,Alexei / Mireille,,San Pawl il-Bahar,35.94771,14.41417,Private room,135,4,5,2022-07-29,0.10,6,263,1,
554098091938950638,"Private Double Room Swieqi 
Good For Enjoyment T3",98349920,Richard,,Swieqi,35.92285,14.47969,Private room,25,2,0,,,26,353,0,
25825301,St John's Street,192412875,Daniel,,Valletta,35.8981,14.51133,Entire home/apt,82,3,86,2022-09-06,1.66,3,327,14,
670307159483116160,Spacious & Central 2 Bed apartment with terrace,21072403,Lena,,Gzira,35.9086316,14.4967307,Entire home/apt,160,3,1,2022-08-02,0.54,1,236,1,
50713423,Vela Blu Apartments Violetta Court,402569537,Andrea,,Gzira,35.90666,14.49429,Entire home/apt,60,1,35,2022-09-22,2.55,7,178,33,
674405784314806531,Lovely Penthause 1 Bedroom in Center of Sliema,470302831,John,,Gzira,35.90774,14.49806,Entire home/apt,126,3,6,2022-09-11,3.27,5,359,6,
592402314741400818,Basic apartment with large pool & bar on Campus,229378810,Marcello,,Pembroke,35.92993,14.4744,Entire home/apt,135,2,1,2022-09-07,1,28,329,1,
114044,1 Luxury well lit double bedroom with balcony.,578994,Paul,,Ta' Xbiex,35.89977,14.49223,Private room,34,2,62,2022-09-21,0.84,1,331,34,
31668492,Room in a shared apartment with large pool 1B,229378810,Marcello,,Pembroke,35.92424,14.4794,Private room,44,3,9,2022-05-31,0.21,28,234,8,
667315576093315729,"Bedrooms with AC Near 
 Paceville",237362897,Barbaros,,Pembroke,35.92386,14.47499,Private room,45,3,1,2022-09-13,1,3,363,1,
12703833,Ta' Nikola  Farmhouse; lovely summer house.,8777844,Marvik,,Kercem,36.04481,14.21837,Entire home/apt,260,2,19,2020-08-07,0.25,7,353,0,
6882521,COSY HOME WITH PATIO - ST JULIANS,36063021,Marquita,,San Giljan,35.91791,14.4903,Entire home/apt,89,3,76,2022-08-24,0.86,1,353,14,
50409782,Beautiful Valletta Heritage town house,398020262,Ivana,,Valletta,35.90022,14.51202,Entire home/apt,94,2,28,2022-09-05,1.85,11,85,24,
41631583,Stylish Luxe Apartment - Meters away from sefront,328377558,Mpth,,Gzira,35.90538,14.49614,Entire home/apt,77,2,0,,,1,243,0,
48604869,"Seafront, LUX Room with IN/OUTdoor pool heaven",386848822,360 Deluxe Rooms,,San Giljan,35.92074,14.49317,Private room,273,1,0,,,22,365,0,
41511387,SUNRISE PENTHOUSE  5 min from the blue sea,34089248,Sylvia,,San Pawl il-Bahar,35.94778,14.41518,Entire home/apt,65,5,4,2022-08-17,0.13,8,357,3,
52502174,"High-END, 2BR TOWNHOUSE with roof top, WIFI & BBQ",385341680,ThreeSIXTY Estates,,Bormla,35.88201,14.52025,Entire home/apt,165,3,7,2022-08-24,0.62,282,337,7,
13707654,"Marsascala,An Apt with stunning views of the sea",80013683,Lara,,Marsascala,35.86737,14.56716,Entire home/apt,130,4,31,2022-08-16,0.41,1,364,4,
49996023,Nice Private Bedroom with Bathroom Msida/Valletta,84414008,Oneris,,Pieta,35.89357,14.49345,Private room,35,3,18,2022-08-24,1.20,2,161,10,
34309608,Queen-bed in a private room (en-suite),212089468,Glory,,Birkirkara,35.8999,14.47453,Private room,75,1,3,2019-06-15,0.07,1,25,0,
628668106387380919,Lovely House in Msida 💕Only Couple👩🏼‍🤝‍👨🏻 And Girls🧍🏻‍♀️,343885907,Yasemin,,Msida,35.90003,14.4885,Private room,48,1,17,2022-09-13,3.98,2,338,17,
621582907542539258,Single room in Gzira 100 meters from the sea.,343947035,Salvatore,,Gzira,35.90738,14.49645,Private room,35,3,4,2022-08-25,1.07,1,241,4,
11367474,"St Julian's Studio and Garden, central location",15139520,Mariella M,,San Giljan,35.91768,14.49008,Entire home/apt,74,1,88,2022-09-10,1.11,3,183,9,
30378236,Valletta main street apartment,228034044,Jürgen Und Margit,,Valletta,35.90014,14.51562,Entire home/apt,110,2,20,2022-07-30,0.44,1,220,8,
5822414,12th Floriana/Valletta Apartment,16573646,Laurie,,Floriana,35.89193,14.50423,Entire home/apt,51,2,174,2022-09-03,1.94,15,150,30,
48342463,Charming Valletta Apartment,1774894,ShortLets,,Valletta,35.89882,14.51744,Entire home/apt,97,7,9,2022-08-03,0.64,143,266,7,
25243698,LARGE CENTRAL 1 BEDROOM FLAT (no.1),6158728,Ian,,Gzira,35.9069,14.49225,Entire home/apt,140,6,0,,,69,365,0,
507665223944662446,Hibiskus 2,84063136,Katarzyna,,Xaghra,36.05378,14.26755,Entire home/apt,293,5,0,,,15,151,0,
13130942,Swieqi (close to St. Julians & Paceville),811882,Jacques,,Swieqi,35.92025,14.4834,Entire home/apt,100,30,0,,,1,358,0,
31146815,"A Central, Historical Duplex with Rooftop Terrace",102217613,Valletta Property Rentals,,Valletta,35.89608,14.51355,Entire home/apt,208,4,42,2022-08-25,1.02,10,313,4,
